Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.545413970947266,35.4246808733301,26.900110589283805,29.051473270485566,855215656
1,2007-10-08,30.87932586669922,33.64536260594671,30.685217178555753,33.64536260594671,126671715
2,2007-10-09,32.9821662902832,33.27332717981798,29.229413747593593,30.89550520408466,116725709
3,2007-10-10,33.28951644897461,33.96889505208489,32.998355444192676,33.839488454654,67931378
4,2007-10-11,37.00990295410156,38.8215770162382,32.99834178018052,38.8215770162382,106320954
5,2007-10-12,36.767276763916016,38.142207627787506,35.909967808734656,36.23348095317501,99410791
6,2007-10-15,37.2525520324707,37.754000113842736,36.92903883981591,37.52753912381298,41814972
7,2007-10-16,41.0538215637207,41.70085217174976,37.04225987667578,37.301068609545496,138614496
8,2007-10-17,44.2566032409668,45.291842522417625,34.324747177407374,36.88050196948446,204876259
9,2007-10-18,42.7037353515625,48.349040354809915,40.87588732647553,44.96832691239553,146617799
10,2007-10-19,42.55816650390625,44.288962742645936,40.43915272805429,41.733205334524634,110266491
11,2007-10-22,41.992008209228516,43.30223439737445,40.600899365049735,41.7008473216324,72253405
12,2007-10-23,44.98450469970703,45.38889604536594,43.027247953961755,43.027247953961755,74594921
13,2007-10-24,44.2889518737793,46.424139028048785,43.787503979074636,45.938865031784616,63055170
14,2007-10-25,44.19188690185547,45.22713029095661,39.03185262756155,42.78460442814567,34522489
15,2007-10-26,45.518310546875,46.24621513135018,43.75516213153062,44.968336438989255,62370025
16,2007-10-29,46.44031524658203,47.556437156688446,46.03592388609813,46.26238480313995,43657697
17,2007-10-30,47.475563049316406,48.75343722778894,45.680062618503946,47.07117165335785,79921711
18,2007-10-31,48.46226501464844,49.52986068411947,47.556430253818284,47.7181867745327,44655368
19,2007-11-01,47.378517150878906,50.03132706093439,46.99030395609197,49.65928777045706,50632492
20,2007-11-02,48.235809326171875,48.526974605161705,45.29183945447605,45.663883002534845,32001693
21,2007-11-05,49.2225341796875,50.306304024365964,47.91230339268425,48.20346871508114,38833135
22,2007-11-06,49.86956024169922,53.023813193798766,49.190181805199956,50.07984289425368,81880281
23,2007-11-07,49.14166259765625,51.50330697331868,48.041718701976876,50.791580635139404,33593141
24,2007-11-08,48.30052185058594,49.61075266344967,47.23293027381786,47.879956535599156,27990521
25,2007-11-12,49.46514129638672,50.33862799810699,45.56680769847228,46.844685579151,35153735
26,2007-11-13,50.64599609375,51.665061659844895,48.70491715340619,50.306309034361036,43830531
